CDP Name, Total Housing Units, Seasonal Housing Units,  % Seasonal,Occupied Housing Units (Households), Owner Occupied Units, Renter Occupied Units, % Owner Occupied, Ave. Household Size,Ave. Owner Household Size,Ave. Renter Household Size, Owner Vacancy Rate, Renter Vacancy Rate,Pop. In Owner Occupied Units,Pop. In Renter Occupied Units," Vacant Housing Units Sold, Not Occupied", Vacant Housing Units For Sale Only," Vacant Housing Units Rented, Not Occupied", Vacant Housing Units For Rent
Amagansett CDP,"1,790","1,166",65.1%,513,409,104,79.7%,0.50,0.62,0.07,0.5%,0.0%,913,252,7,30,2,34
Amityville village,"3,997",42,1.1%,"3,690","2,617","1,073",70.9%,0.64,0.89,0.01,0.0%,0.0%,"6,611","2,342",7,154,0,45
Aquebogue CDP,"1,127",137,12.2%,932,772,160,82.8%,0.51,0.61,0.02,0.1%,0.0%,"1,945",468,3,19,1,18
Asharoken village,302,36,11.9%,255,227,28,89.0%,0.27,0.30,0.04,0.0%,0.0%,587,67,1,6,0,2
Babylon village,"4,768",43,0.9%,"4,585","3,500","1,085",76.3%,0.47,0.61,0.01,0.0%,0.0%,"9,968","2,138",11,31,1,50
Baiting Hollow CDP,"1,208",459,38.0%,719,626,93,87.1%,0.31,0.35,0.01,0.2%,0.0%,"1,407",220,1,9,1,6
Bay Shore CDP,"9,663",45,0.5%,"9,064","5,344","3,720",59.0%,0.98,1.67,0.00,0.1%,0.0%,"17,152","8,907",16,147,5,229
Bayport CDP,"3,515",23,0.7%,"3,346","2,322","1,024",69.4%,0.54,0.78,0.01,0.0%,0.0%,"7,051","1,816",7,21,1,91
Baywood CDP,"2,272",1,0.0%,"2,162","1,779",383,82.3%,0.60,0.73,0.02,0.0%,0.0%,"6,011","1,299",6,44,0,24
Belle Terre village,308,11,3.6%,286,281,5,98.3%,0.09,0.07,1.00,0.0%,0.0%,772,20,5,2,0,0
Bellport village,"1,170",196,16.8%,921,775,146,84.1%,0.31,0.37,0.01,0.3%,0.0%,"1,799",284,1,14,2,10
Blue Point CDP,"1,747",30,1.7%,"1,680","1,489",191,88.6%,0.26,0.29,0.02,0.1%,0.0%,"4,290",439,3,9,1,14
Bohemia CDP,"3,731",13,0.3%,"3,606","2,839",767,78.7%,0.45,0.57,0.01,0.0%,0.0%,"8,374","1,624",10,36,0,31
Brentwood CDP,"14,202",16,0.1%,"13,654","9,508","4,146",69.6%,1.14,1.64,0.01,0.1%,0.0%,"43,765","15,598",23,148,6,147
Bridgehampton CDP,"2,431","1,514",62.3%,748,579,169,77.4%,0.59,0.75,0.06,0.3%,0.0%,"1,322",434,10,40,2,20
Brightwaters village,"1,156",10,0.9%,"1,126","1,021",105,90.7%,0.18,0.20,0.02,0.1%,0.0%,"2,889",205,2,7,1,7
Brookhaven CDP,"1,268",43,3.4%,"1,176",933,243,79.3%,0.43,0.53,0.01,0.1%,0.0%,"2,496",497,3,12,1,19
Calverton CDP,"3,224",75,2.3%,"2,965","2,542",423,85.7%,0.38,0.44,0.02,0.2%,0.0%,"5,371","1,115",10,61,5,26
Center Moriches CDP,"2,818",82,2.9%,"2,597","2,094",503,80.6%,0.52,0.64,0.02,0.1%,0.0%,"6,133","1,339",8,47,3,46
Centereach CDP,"10,408",33,0.3%,"10,026","8,451","1,575",84.3%,0.40,0.47,0.01,0.2%,0.0%,"27,423","3,995",17,89,15,118
Centerport CDP,"2,120",27,1.3%,"2,032","1,844",188,90.7%,0.20,0.22,0.02,0.1%,0.0%,"5,108",400,4,10,1,18
Central Islip CDP,"9,961",20,0.2%,"9,365","6,451","2,914",68.9%,1.02,1.48,0.01,0.1%,0.0%,"24,723","9,522",16,218,8,134
Cold Spring Harbor CDP,"1,809",19,1.1%,"1,749","1,541",208,88.1%,0.25,0.28,0.01,0.0%,0.0%,"4,585",430,3,8,0,8
Commack CDP,"12,138",46,0.4%,"11,907","10,862","1,045",91.2%,0.19,0.21,0.02,0.0%,0.0%,"33,389","2,229",18,57,2,41
Copiague CDP,"7,919",48,0.6%,"7,535","5,426","2,109",72.0%,0.83,1.15,0.01,0.1%,0.0%,"16,671","6,256",18,94,3,79
Coram CDP,"15,437",100,0.6%,"14,632","9,939","4,693",67.9%,0.75,1.11,0.00,0.1%,0.0%,"27,852","11,002",17,136,12,310
Cutchogue CDP,"2,062",608,29.5%,"1,347","1,134",213,84.2%,0.38,0.45,0.02,0.4%,0.0%,"2,802",512,4,28,5,13
Deer Park CDP,"9,715",25,0.3%,"9,383","7,579","1,804",80.8%,0.44,0.55,0.01,0.0%,0.0%,"23,529","4,153",22,73,3,98
Dering Harbor village,35,26,74.3%,5,5,0,100.0%,0.00,0.00,-,0.0%,-,11,0,0,0,0,0
Dix Hills CDP,"8,529",38,0.4%,"8,319","7,732",587,92.9%,0.17,0.18,0.03,0.0%,0.0%,"25,167","1,393",19,64,2,26
